"File","Line","Kind","Name"
"BestResponse.lean","21","theorem","isNash_iff_bestResponse"
"BestResponse.lean","34","theorem","isNashFor_iff_bestResponseFor"
"BestResponse.lean","40","theorem","dominant_isBestResponse"
"BestResponseDynamics.lean","37","theorem","no_improving_deviation_iff_nash"
"BestResponseDynamics.lean","53","theorem","strictNash_absorbing"
"BestResponseDynamics.lean","60","theorem","εNash_bounded_improvement"
"BestResponseExistence.lean","24","theorem","IsBestResponse.exists_of_finite"
"BestResponseExistence.lean","32","theorem","IsBestResponse.of_nash"
"DominanceRelations.lean","24","theorem","WeaklyDominates.refl"
"DominanceRelations.lean","31","theorem","WeaklyDominates.trans"
"DominanceRelations.lean","39","theorem","StrictlyDominates.toWeaklyDominates"
"DominanceRelations.lean","45","theorem","StrictlyDominates.trans"
"DominanceRelations.lean","54","theorem","IsDominant.weaklyDominates"
"DominanceSolvability.lean","37","theorem","IsDominanceSolvable.isNash"
"DominanceSolvability.lean","48","theorem","IsDominanceSolvable.nash_unique"
"DominanceSolvability.lean","61","theorem","IsDominanceSolvable.exists_unique_nash"
"DominanceSolvable.lean","25","theorem","StrictlyDominates.not_best_response"
"DominanceSolvable.lean","35","theorem","WeaklyDominates.best_response_of_best_response"
"DominanceSolvable.lean","46","theorem","nash_never_strictly_dominated"
"DominanceSolvable.lean","57","theorem","IsDominant.isBestResponse"
"PotentialFIP.lean","30","theorem","IsExactPotential.eu_diff_eq_potential_diff"
"PotentialFIP.lean","45","theorem","IsExactPotential.improving_deviation_increases_potential"
"PotentialFIP.lean","60","theorem","IsExactPotential.no_improving_at_maximizer"
"PotentialFIP.lean","72","theorem","IsExactPotential.strictNash_of_strict_maximizer"
"PotentialFIP.lean","89","theorem","IsExactPotential.isNash_iff_local_maximizer"
"PotentialFIP.lean","108","theorem","IsExactPotential.nash_exists"
"PotentialGame.lean","23","theorem","IsExactPotential.toOrdinal"
"PotentialGame.lean","39","theorem","IsExactPotential.nash_of_maximizer"
"PotentialGame.lean","52","theorem","IsOrdinalPotential.nash_of_maximizer"
"PotentialGame.lean","66","theorem","IsOrdinalPotential.isNash_iff_local_maximizer"
"PotentialTeam.lean","36","theorem","IsTeamGame.isExactPotential"
"PotentialTeam.lean","52","theorem","IsTeamGame.nash_iff_local_potential_max"
"PotentialTeam.lean","72","theorem","IsZeroSum.teamGame_utility_zero"
"PotentialWellFounded.lean","35","theorem","IsExactPotential.improvingStep_increases_potential"
"PotentialWellFounded.lean","47","theorem","IsExactPotential.no_infinite_improving_path"
"Regret.lean","43","theorem","swapRegret_id"
"Regret.lean","48","theorem","externalRegret_eq_swapRegret_const"
"Regret.lean","56","theorem","isCorrelatedEq_iff_noSwapRegret"
"Regret.lean","61","theorem","isCoarseCorrelatedEq_iff_noExternalRegret"
"Regret.lean","66","theorem","noSwapRegret_imp_noExternalRegret"
"StrictDominance.lean","22","theorem","IsStrictDominant.toDominant"
"StrictDominance.lean","31","theorem","strictly_dominant_is_nash"
"StrictDominance.lean","37","theorem","strictly_dominant_unique_nash"
