"File","Line","Kind","Name"
"AllPayAuction.lean","23","theorem","allPay_overbid_unprofitable"
"AllPayAuction.lean","31","theorem","allPay_winner_profit"
"AllPayAuction.lean","38","theorem","allPay_rent_dissipation"
"AllPayAuction.lean","45","theorem","allPay_symmetric_negative"
"ApproximateNash.lean","45","theorem","IsεNash.of_isNash"
"ApproximateNash.lean","52","theorem","isNash_iff_isεNash_zero"
"ApproximateNash.lean","61","theorem","IsεNash.mono"
"ApproximateNash.lean","68","theorem","isεNash_iff_εBestResponse"
"ApproximateNash.lean","82","theorem","IsStrictNash.isNash"
"ApproximateNash.lean","89","theorem","IsStrictNash.isεNash"
"Auction.lean","116","theorem","auctionGame_ic_isNash"
"Bargaining.lean","57","theorem","nashSolution_IR"
"Bargaining.lean","63","theorem","nashSolution_pareto"
"Bargaining.lean","81","theorem","nashSolution_symmetric"
"Bargaining.lean","111","theorem","nashSolution_affine_invariant"
"BayesianGame.lean","77","theorem","bayesNash_iff_isNash"
"BayesianGame.lean","84","theorem","bayesNash_iff_exAnteEU"
"BestResponse.lean","21","theorem","isNash_iff_bestResponse"
"BestResponse.lean","34","theorem","isNashFor_iff_bestResponseFor"
"BestResponse.lean","40","theorem","dominant_isBestResponse"
"BestResponseDynamics.lean","37","theorem","no_improving_deviation_iff_nash"
"BestResponseDynamics.lean","53","theorem","strictNash_absorbing"
"BestResponseDynamics.lean","60","theorem","εNash_bounded_improvement"
"BestResponseExistence.lean","24","theorem","IsBestResponse.exists_of_finite"
"BestResponseExistence.lean","32","theorem","IsBestResponse.of_nash"
"CoalitionalGame.lean","63","theorem","shapleyValue_null"
"CoalitionalGame.lean","77","theorem","shapleyValue_additive"
"CoalitionalGame.lean","92","theorem","marginalContribution_eq_of_symmetric"
"CoalitionalGame.lean","105","theorem","shapleyValue_scalar"
"CoalitionalGame.lean","113","theorem","shapleyValue_symmetric"
"CommonKnowledge.lean","7","theorem","(Aumann,"
"CommonKnowledge.lean","43","theorem","posterior_eq_of_same_cell"
"CommonKnowledge.lean","50","theorem","agree_to_disagree"
"CommonKnowledge.lean","61","theorem","posterior_self_evident"
"CommonKnowledge.lean","71","theorem","cell_disjoint_of_not_in_self_evident"
"CommonKnowledge.lean","83","theorem","posterior_zero_outside_self_evident"
"CongestionGame.lean","80","theorem","congestion_decompose"
"CongestionGame.lean","102","theorem","congestionWithout_update"
"CongestionGame.lean","114","theorem","congestion_update"
"CongestionGame.lean","126","theorem","isExactPotential"
"CongestionGame.lean","163","theorem","nash_exists"
"CongestionGame.lean","172","theorem","no_infinite_improving_path"
"ConstantSum.lean","26","theorem","IsConstantSum.socialWelfare_eq"
"ConstantSum.lean","40","theorem","IsConstantSum.eu_determined"
"ConstantSum.lean","49","theorem","IsZeroSum.isConstantSum_zero"
"ConstantSum.lean","57","theorem","IsConstantSum.nash_eu_eq"
"ConstantSumNash.lean","33","theorem","IsConstantSum.nash_opponent_deviation_helps"
"ConstantSumNash.lean","47","theorem","IsConstantSum.nash_opponent_deviation_helps'"
"ConstantSumNash.lean","61","theorem","IsConstantSum.nash_guarantees_0"
"ConstantSumNash.lean","73","theorem","IsConstantSum.nash_guarantees_1"
"CorrelatedEqProperties.lean","25","theorem","IsCorrelatedEq.toCoarseCorrelatedEq"
"CorrelatedEqProperties.lean","36","theorem","deviateDistribution_id"
"CorrelatedNashMixed.lean","33","theorem","correlatedEu_pure"
"CorrelatedNashMixed.lean","40","theorem","constDeviateDistribution_pure"
"CorrelatedNashMixed.lean","48","theorem","deviateDistribution_pure"
"CorrelatedNashMixed.lean","58","theorem","deviateDistribution_pmfPi"
"CorrelatedNashMixed.lean","71","theorem","correlatedEu_eq_expect_eu"
"CorrelatedNashMixed.lean","86","theorem","mixed_nash_isCorrelatedEq"
"CorrelatedNashMixed.lean","115","theorem","correlatedEq_exists"
"CorrelatedNashMixed.lean","127","theorem","mixed_nash_isCoarseCorrelatedEq"
"CorrelatedNashMixed.lean","139","theorem","coarseCorrelatedEq_exists"
"DominanceNash.lean","24","theorem","not_in_nash_of_not_best_response"
"DominanceNash.lean","37","theorem","StrictlyDominates.not_nash"
"DominanceNash.lean","49","theorem","IsStrictDominant.unique_best_response"
"DominanceRelations.lean","24","theorem","WeaklyDominates.refl"
"DominanceRelations.lean","31","theorem","WeaklyDominates.trans"
"DominanceRelations.lean","39","theorem","StrictlyDominates.toWeaklyDominates"
"DominanceRelations.lean","45","theorem","StrictlyDominates.trans"
"DominanceRelations.lean","54","theorem","IsDominant.weaklyDominates"
"DominanceSolvability.lean","37","theorem","IsDominanceSolvable.isNash"
"DominanceSolvability.lean","48","theorem","IsDominanceSolvable.nash_unique"
"DominanceSolvability.lean","61","theorem","IsDominanceSolvable.exists_unique_nash"
"DominanceSolvable.lean","25","theorem","StrictlyDominates.not_best_response"
"DominanceSolvable.lean","35","theorem","WeaklyDominates.best_response_of_best_response"
"DominanceSolvable.lean","46","theorem","nash_never_strictly_dominated"
"DominanceSolvable.lean","57","theorem","IsDominant.isBestResponse"
"EFG_NFG.lean","52","theorem","toNFGGameDet_outcomeKernel"
"EFG_NFG.lean","59","theorem","toNFGGameDet_semantics_eq"
"EFG_Proto.lean","139","theorem","EFGGame.toProtocol_perfectInfo"
"EFG_Proto.lean","159","theorem","EFGGame.toProtocol_sequential"
"EFG_Proto.lean","199","theorem","EFGGame.proto_odp"
"EFG_Sequential.lean","96","private theorem","treeCombine_decision_eq_pure"
"EFG_Sequential.lean","109","private theorem","treeCombine_wf"
"EFG_Sequential.lean","141","private theorem","treeCombine_selfLoop_depth0"
"EFG_Sequential.lean","179","theorem","EFGGame.toPreKernelStep_strictlyWellFounded"
"EFG_Sequential.lean","191","private theorem","toPreKernelStep_actionIrrelevant_of_obs_none"
"EFG_Sequential.lean","216","theorem","EFGGame.toPreKernelStep_perfectInfoRelevant"
"EFG_Sequential.lean","270","theorem","treeObserve_decision_self"
"EFG_Sequential.lean","276","theorem","treeObserve_decision_other"
"EFG_Sequential.lean","293","theorem","EFGGame.sequential_spe_implies_nash"
"EFG_Sequential.lean","304","theorem","EFGGame.sequential_spe_implies_isNash"
"EFG_Sequential.lean","320","theorem","EFGGame.sequential_spe_hasNoOSD"
"EFG_Sequential.lean","336","theorem","EFGGame.sequential_noOSD_implies_spe"
"EFG_Sequential.lean","349","theorem","EFGGame.sequential_odp"
"EFG.lean","148","theorem","evalDist_pureToBehavioral_eq_pure"
"EFG.lean","178","theorem","DecisionNodeIn_terminal_false"
"EFG.lean","184","theorem","DecisionNodeIn_chance_inv"
"EFG.lean","193","theorem","DecisionNodeIn_decision_inv"
"EFG.lean","207","theorem","swap_decisions"
"EFG.lean","219","theorem","swap_chance_decision"
"EFG.lean","231","theorem","swap_chances"
"EFG.lean","267","theorem","toStrategicKernelGame_outcomeKernel"
"EFG.lean","273","theorem","toStrategicKernelGame_semantics_eq"
"EFG.lean","280","theorem","toStrategicKernelGame_udist"
"EFG.lean","286","theorem","pureToBehavioral_update"
"EFG.lean","385","theorem","PerfectRecall_terminal"
"EFG.lean","392","theorem","PerfectRecall_single_infoSet"
"EFG.lean","405","theorem","ReachBy_terminal_absurd"
"EFG.lean","412","theorem","ReachBy_decision_inv"
"EFG.lean","429","theorem","ReachBy_chance_inv'"
"EFG.lean","442","theorem","ReachBy_append"
"EFG.lean","454","theorem","ReachBy_split"
"EFG.lean","471","theorem","playerHistory_append"
"EFGExamples.lean","115","private theorem","seqTree_playerHistory_nil"
"EFGExamples.lean","135","theorem","seqTree_perfectRecall"
"EFGExamples.lean","141","private theorem","mpTree_playerHistory_nil"
"EFGExamples.lean","155","theorem","matchingPenniesTree_perfectRecall"
"EFGExamples.lean","162","private theorem","hdTree_playerHistory_nil"
"EFGExamples.lean","180","theorem","hiddenDecTree_perfectRecall"
"EFGKuhn.lean","90","theorem","DecisionNodeIn_to_ReachBy"
"EFGKuhn.lean","107","theorem","PerfectRecall_implies_NoInfoSetRepeat"
"EFGKuhn.lean","139","theorem","evalDist_pure_eq_of_agree"
"EFGKuhn.lean","164","theorem","behavioral_to_mixed"
"EFGKuhn.lean","284","theorem","DecisionNodeIn_of_reachesFlat"
"EFGKuhn.lean","301","theorem","infoSet_unique_subtree_typed"
"EFGKuhn.lean","316","theorem","reachesFlat_decision_forces_action"
"EFGKuhn.lean","333","theorem","reachesFlat_root"
"EFGKuhn.lean","340","theorem","reachProbFlat_root"
"EFGKuhn.lean","354","theorem","root_num_collapse"
"EFGKuhn.lean","400","theorem","μCond_apply"
"EFGKuhn.lean","407","theorem","bind_marginal_cond"
