# pinned_commit	a3d8c67ed91d58e197b8c978ddcc00ba96f87c29
# generated_by	scripts/coverage-audit.ps1 -UpdateIndex
path	line	family_id	kind	declaration	visibility
GameTheory/Auctions/AllPay.lean	37	M-AUCT	theorem	allPay_overbid_unprofitable	public
GameTheory/Auctions/AllPay.lean	43	M-AUCT	theorem	allPay_winner_profit_of_lt	public
GameTheory/Auctions/AllPay.lean	48	M-AUCT	theorem	allPay_winner_profit	public
GameTheory/Auctions/AllPay.lean	54	M-AUCT	theorem	allPay_rent_dissipation	public
GameTheory/Auctions/AllPay.lean	59	M-AUCT	theorem	allPay_symmetric_negative	public
GameTheory/Auctions/Basic.lean	44	M-AUCT	def	maxOtherBid	public
GameTheory/Auctions/Basic.lean	50	M-AUCT	theorem	maxOtherBid_update_self	public
GameTheory/Auctions/Basic.lean	70	M-AUCT	structure	QuasiLinear	public
GameTheory/Auctions/Basic.lean	88	M-AUCT	def	IsExPostIR	public
GameTheory/Auctions/Basic.lean	92	M-AUCT	def	NoPosTransfers	public
GameTheory/Auctions/Basic.lean	97	M-AUCT	def	IsEfficient	public
GameTheory/Auctions/Basic.lean	101	M-AUCT	def	StrongBudgetBalanced	public
GameTheory/Auctions/Basic.lean	114	M-AUCT	def	auctionGame	public
GameTheory/Auctions/Basic.lean	124	M-AUCT	theorem	auctionGame_eu	public
GameTheory/Auctions/Basic.lean	132	M-AUCT	def	auctionGame_quasiLinear	public
GameTheory/Auctions/Basic.lean	146	M-AUCT	theorem	auctionGame_ic_isNash	public
GameTheory/Auctions/Combinatorial.lean	32	M-AUCT	structure	Valuation	public
GameTheory/Auctions/Combinatorial.lean	44	M-AUCT	instance	<anonymous@44>	public
GameTheory/Auctions/Combinatorial.lean	47	M-AUCT	theorem	empty	public
GameTheory/Auctions/Combinatorial.lean	50	M-AUCT	theorem	ext	public
GameTheory/Auctions/Combinatorial.lean	57	M-AUCT	theorem	mono	public
GameTheory/Auctions/Combinatorial.lean	61	M-AUCT	theorem	nonneg	public
GameTheory/Auctions/Combinatorial.lean	67	M-AUCT	def	thresholdBundle	public
GameTheory/Auctions/Combinatorial.lean	85	M-AUCT	theorem	thresholdBundle_apply_of_subset	public
GameTheory/Auctions/Combinatorial.lean	90	M-AUCT	theorem	thresholdBundle_apply_of_not_subset	public
GameTheory/Auctions/Combinatorial.lean	96	M-AUCT	instance	<anonymous@96>	public
GameTheory/Auctions/Combinatorial.lean	105	M-AUCT	def	feasibleBundles	public
GameTheory/Auctions/Combinatorial.lean	108	M-AUCT	theorem	empty_mem_feasibleBundles	public
GameTheory/Auctions/Combinatorial.lean	113	M-AUCT	theorem	feasibleBundles_nonempty	public
GameTheory/Auctions/Combinatorial.lean	118	M-AUCT	theorem	feasibleBundles_mono	public
GameTheory/Auctions/Combinatorial.lean	127	M-AUCT	def	bundling	public
GameTheory/Auctions/Combinatorial.lean	157	M-AUCT	theorem	bundling_value_eq_sup	public
GameTheory/Auctions/Combinatorial.lean	164	M-AUCT	theorem	bundling_le_original	public
GameTheory/Auctions/Combinatorial.lean	174	M-AUCT	theorem	le_bundling_of_mem	public
GameTheory/Auctions/Combinatorial.lean	183	M-AUCT	theorem	bundling_eq_original_of_mem	public
GameTheory/Auctions/Combinatorial.lean	191	M-AUCT	def	IsBasedOn	public
GameTheory/Auctions/Combinatorial.lean	196	M-AUCT	theorem	bundling_isBasedOn	public
GameTheory/Auctions/Combinatorial.lean	218	M-AUCT	structure	Allocation	public
GameTheory/Auctions/Combinatorial.lean	230	M-AUCT	def	shrink	public
GameTheory/Auctions/Combinatorial.lean	250	M-AUCT	theorem	shrink_bundle_self	public
GameTheory/Auctions/Combinatorial.lean	254	M-AUCT	theorem	shrink_bundle_ne	public
GameTheory/Auctions/Combinatorial.lean	265	M-AUCT	def	residualAfterOpponents	public
GameTheory/Auctions/Combinatorial.lean	270	M-AUCT	def	giveResidualTo	public
GameTheory/Auctions/Combinatorial.lean	298	M-AUCT	theorem	giveResidualTo_bundle_self	public
GameTheory/Auctions/Combinatorial.lean	302	M-AUCT	theorem	giveResidualTo_bundle_ne	public
GameTheory/Auctions/Combinatorial.lean	308	M-AUCT	theorem	bundle_subset_residualAfterOpponents	public
GameTheory/Auctions/Combinatorial.lean	325	M-AUCT	def	emptyAllocation	public
GameTheory/Auctions/Combinatorial.lean	332	M-AUCT	instance	allocationInhabited	public
GameTheory/Auctions/Combinatorial.lean	336	M-AUCT	instance	allocationFintype	public
GameTheory/Auctions/Combinatorial.lean	364	M-AUCT	def	surplus	public
GameTheory/Auctions/Combinatorial.lean	369	M-AUCT	def	IsSurplusMaximizer	public
GameTheory/Auctions/Combinatorial.lean	373	M-AUCT	def	allocationSize	public
GameTheory/Auctions/Combinatorial.lean	376	M-AUCT	theorem	exists_surplus_maximizing_allocation	public
GameTheory/Auctions/Combinatorial.lean	391	M-AUCT	def	surplusMaximizingAllocation	public
GameTheory/Auctions/Combinatorial.lean	395	M-AUCT	theorem	surplusMaximizingAllocation_isSurplusMaximizer	public
GameTheory/Auctions/Combinatorial.lean	400	M-AUCT	theorem	surplus_shrink_eq_of_value_eq	public
GameTheory/Auctions/Combinatorial.lean	418	M-AUCT	theorem	allocationSize_shrink_lt	public
GameTheory/Auctions/Combinatorial.lean	440	M-AUCT	def	surplusMaximizers	public
GameTheory/Auctions/Combinatorial.lean	443	M-AUCT	theorem	surplusMaximizers_nonempty	public
GameTheory/Auctions/Combinatorial.lean	450	M-AUCT	def	frugalSurplusMaximizingAllocation	public
GameTheory/Auctions/Combinatorial.lean	455	M-AUCT	theorem	frugalSurplusMaximizingAllocation_isSurplusMaximizer	public
GameTheory/Auctions/Combinatorial.lean	470	M-AUCT	def	IsFrugal	public
GameTheory/Auctions/Combinatorial.lean	477	M-AUCT	theorem	frugalSurplusMaximizingAllocation_isFrugal	public
GameTheory/Auctions/Combinatorial.lean	510	M-AUCT	theorem	IsFrugal.allocated_bundle_mem_of_based	public
GameTheory/Auctions/Combinatorial.lean	549	M-AUCT	def	IsQuasiField	public
GameTheory/Auctions/Combinatorial.lean	554	M-AUCT	theorem	IsQuasiField.empty_mem	public
GameTheory/Auctions/Combinatorial.lean	559	M-AUCT	theorem	IsQuasiField.compl_mem	public
GameTheory/Auctions/Combinatorial.lean	565	M-AUCT	theorem	IsQuasiField.disjoint_union_mem	public
GameTheory/Auctions/Combinatorial.lean	572	M-AUCT	theorem	IsQuasiField.biUnion_mem_of_pairwise_disjoint	public
GameTheory/Auctions/Combinatorial.lean	602	M-AUCT	theorem	IsQuasiField.residualAfterOpponents_mem	public
GameTheory/Auctions/FirstPrice.lean	33	M-AUCT	def	maxBid	public
GameTheory/Auctions/FirstPrice.lean	38	M-AUCT	lemma	exists_maxBid	public
GameTheory/Auctions/FirstPrice.lean	44	M-AUCT	def	winner	public
GameTheory/Auctions/FirstPrice.lean	49	M-AUCT	lemma	bid_winner_eq_maxBid	public
GameTheory/Auctions/FirstPrice.lean	55	M-AUCT	lemma	bid_le_bid_winner	public
GameTheory/Auctions/FirstPrice.lean	62	M-AUCT	lemma	eq_winner_of_bid_gt	public
GameTheory/Auctions/FirstPrice.lean	70	M-AUCT	def	firstPricePayoff	public
GameTheory/Auctions/FirstPrice.lean	74	M-AUCT	lemma	firstPricePayoff_winner	public
